,PlayerID,GP,PTS,AST,REB,STL,BLK,TOV,FT_PCT,FG_PCT,FG3_PCT,FTA
295,1626168,17,74,19,111,3,4,13,0.556,0.475,0.406,9.0
296,1629133,3,3,1,0,0,0,2,0.0,0.333,0.5,0.0
297,203705,2,4,2,2,2,0,0,0.0,0.4,0.0,0.0
299,1627748,16,57,9,33,6,12,10,0.481,0.5,0.462,27.0
300,1629611,12,27,17,16,2,0,7,0.8,0.478,0.2,5.0
301,1626246,7,54,5,37,2,1,7,0.8,0.523,0.0,10.0
302,1628374,17,234,27,127,16,9,35,0.81,0.354,0.277,84.0
303,1628997,3,5,3,4,1,2,3,0.333,0.222,0.0,3.0
304,1628998,14,42,17,35,12,1,6,0.714,0.351,0.059,21.0
305,1629103,6,32,1,20,1,1,3,0.0,0.35,0.182,0.0
307,1629726,2,0,2,1,0,0,1,0.0,0.0,0.0,0.0
308,202083,16,119,19,34,11,1,12,0.789,0.426,0.364,19.0
309,1627775,2,8,3,6,3,0,3,0.5,0.6,0.333,2.0
310,203468,17,377,67,80,15,13,37,0.784,0.431,0.368,37.0
311,204456,13,88,63,38,7,3,19,0.857,0.519,0.0,7.0
312,1629667,1,2,0,1,0,0,0,0.0,0.5,0.0,0.0
313,203926,15,139,20,44,2,2,15,0.8,0.426,0.443,10.0
314,201580,16,111,13,95,9,20,13,0.579,0.61,0.0,19.0
315,203585,13,49,10,26,1,3,6,0.375,0.367,0.333,8.0
316,1628035,10,31,3,23,5,3,5,0.667,0.4,0.385,9.0
317,1629162,4,11,8,7,1,0,4,1.0,0.267,0.125,2.0
318,203463,17,124,14,31,11,3,10,0.826,0.333,0.296,23.0
319,203895,8,53,20,19,3,4,7,0.917,0.475,0.4,12.0
320,1629740,15,103,21,47,9,2,12,0.8,0.466,0.388,20.0
321,1629001,6,21,7,8,6,1,5,0.5,0.381,0.375,4.0
322,1629002,5,15,2,10,0,2,0,0.5,0.583,0.0,2.0
323,203114,10,185,29,57,8,1,23,0.886,0.468,0.393,35.0
324,101139,9,59,10,11,8,4,4,0.8,0.346,0.355,15.0
326,1626259,5,5,1,5,0,0,1,0.0,0.5,0.333,0.0
327,201988,17,203,36,24,16,3,21,0.786,0.49,0.457,28.0
328,200794,15,217,20,94,14,11,16,0.887,0.493,0.5,62.0
329,1629003,8,30,4,7,1,0,12,0.857,0.345,0.235,7.0
330,1628378,16,415,63,91,20,4,35,0.826,0.453,0.389,92.0
331,1628513,3,14,7,6,1,1,2,0.0,0.375,0.182,0.0
333,1628370,17,177,38,46,6,4,28,0.783,0.483,0.302,23.0
334,202734,12,132,19,37,5,1,7,0.625,0.433,0.4,16.0
335,1629630,14,267,84,44,16,3,54,0.754,0.472,0.419,69.0
336,202693,16,180,26,63,11,2,31,0.733,0.462,0.4,30.0
337,1628420,15,103,51,27,6,2,10,0.667,0.424,0.438,18.0
338,202694,17,328,23,107,18,11,35,0.84,0.42,0.51,81.0
339,1628405,2,3,2,2,0,0,2,0.0,0.333,1.0,0.0
340,1626144,13,114,29,36,6,4,26,0.8,0.517,0.286,20.0
341,1627749,14,151,62,90,22,5,34,0.769,0.484,0.188,39.0
342,1627750,15,284,75,71,23,5,36,0.886,0.433,0.365,44.0
343,1629058,11,60,13,34,6,0,14,0.773,0.339,0.179,22.0
344,203488,12,42,14,30,3,3,5,0.833,0.28,0.237,6.0
345,1629004,11,45,15,11,3,1,11,1.0,0.417,0.481,2.0
346,1627846,8,34,3,15,2,3,11,0.778,0.367,0.313,9.0
347,1626204,14,139,18,98,16,5,13,0.72,0.525,0.366,25.0
348,203894,6,47,27,15,9,3,12,0.875,0.302,0.226,16.0
350,203526,13,54,22,15,7,2,14,1.0,0.5,0.462,2.0
351,1627777,11,33,4,11,0,2,4,0.75,0.478,0.357,8.0
352,203457,14,104,24,66,16,22,18,0.815,0.641,0.0,27.0
353,1629668,2,0,0,1,0,0,0,0.0,0.0,0.0,0.0
354,1629669,2,3,3,1,0,0,1,1.0,0.25,0.0,1.0
355,1628373,16,102,57,39,26,10,17,0.765,0.38,0.317,17.0
356,1629134,15,252,48,38,20,4,36,0.818,0.479,0.376,22.0
358,1628021,10,19,3,21,2,6,5,0.6,0.6,0.333,10.0
359,1626220,16,94,42,74,13,4,15,0.833,0.524,0.514,12.0
360,203124,13,43,17,43,2,7,12,0.333,0.545,0.417,6.0
361,1628400,15,30,4,21,5,0,3,0.6,0.407,0.357,5.0
362,1626143,10,99,13,50,4,13,15,0.633,0.667,0.0,30.0
363,1629059,11,46,26,12,3,0,3,0.529,0.385,0.412,17.0
364,1629006,14,121,27,75,18,6,22,0.72,0.424,0.212,50.0
365,1629644,2,0,0,1,0,0,1,0.0,0.0,0.0,0.0
367,203482,15,117,25,74,16,7,19,0.833,0.415,0.4,18.0
368,1629671,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0
369,1626224,16,136,35,64,16,3,20,0.563,0.392,0.362,16.0
370,1626162,16,281,28,94,22,9,26,0.827,0.455,0.324,81.0
371,203953,16,265,30,97,23,8,29,0.732,0.509,0.27,41.0
372,202718,2,8,0,3,3,0,1,0.0,0.429,0.4,0.0
373,1629672,16,268,25,81,7,6,22,0.806,0.495,0.233,72.0
374,202335,15,67,13,45,2,2,6,0.5,0.365,0.396,4.0
375,1628383,1,0,0,2,0,0,1,0.0,0.0,0.0,0.0
376,101108,15,239,86,61,29,0,32,0.875,0.447,0.403,80.0
377,203901,4,32,15,12,10,0,7,0.833,0.379,0.625,6.0
379,1629033,7,34,13,9,6,0,9,0.833,0.279,0.25,6.0
380,203486,15,98,33,80,8,12,19,0.556,0.549,0.0,36.0
381,1627751,17,98,26,94,9,13,17,0.538,0.575,0.0,26.0
382,1629738,5,7,3,8,1,2,3,0.5,0.375,0.0,2.0
384,1629673,17,150,39,42,11,4,24,0.909,0.271,0.237,33.0
385,1629645,15,102,23,42,11,4,19,0.783,0.396,0.242,23.0
386,1629008,10,37,4,23,0,3,6,0.625,0.441,0.2,8.0
387,203490,9,101,14,31,9,3,7,0.75,0.417,0.4,20.0
388,1626171,17,158,21,107,12,5,17,0.75,0.401,0.417,16.0
389,204001,15,277,24,137,6,33,25,0.719,0.416,0.37,57.0
390,203939,13,95,17,57,7,6,15,0.542,0.645,0.333,24.0
391,1626181,15,179,24,59,10,5,22,0.813,0.461,0.333,32.0
392,1627752,16,205,27,102,14,5,34,0.72,0.403,0.387,25.0
394,203944,17,277,64,154,14,3,59,0.613,0.444,0.262,80.0
396,1629629,14,106,24,53,15,5,29,0.786,0.298,0.235,28.0
397,200755,16,242,30,46,7,5,24,0.851,0.446,0.47,47.0
400,1626196,14,224,54,49,18,8,35,0.844,0.447,0.366,45.0
401,203085,17,131,21,42,8,2,10,0.684,0.402,0.29,19.0
403,1629130,15,157,10,37,9,7,11,1.0,0.446,0.402,10.0
404,1629010,12,42,13,11,4,5,9,1.0,0.39,0.381,2.0
405,1629620,4,5,2,3,0,0,2,0.0,0.4,1.0,0.0
406,1629011,13,123,9,79,8,27,11,0.719,0.725,0.0,32.0
407,203922,17,191,33,87,16,2,16,0.895,0.478,0.392,19.0
409,200765,6,50,34,19,6,0,10,0.714,0.388,0.35,7.0
410,201565,11,196,56,21,11,5,36,0.9,0.531,0.421,40.0
411,203082,13,142,13,39,13,3,17,0.88,0.36,0.268,25.0
412,1626179,17,295,75,64,20,3,53,0.847,0.428,0.352,59.0
413,201937,11,137,89,64,15,0,23,0.861,0.385,0.343,36.0
414,1626156,10,243,67,36,8,5,34,0.763,0.455,0.354,59.0
415,1627734,13,248,47,174,7,9,36,0.855,0.497,0.313,55.0
417,203960,9,50,4,24,5,6,6,0.286,0.561,0.2,7.0
418,203967,16,165,32,106,16,5,22,0.789,0.421,0.389,19.0
419,203107,17,145,85,52,26,3,34,0.889,0.454,0.447,18.0
420,1629678,6,22,1,8,0,0,0,1.0,0.7,0.571,4.0
421,203471,15,220,60,66,13,4,44,0.767,0.434,0.262,43.0
422,203118,16,99,10,58,3,1,7,1.0,0.458,0.375,5.0
423,200757,14,29,14,35,6,4,4,0.0,0.297,0.304,0.0
424,1629012,16,285,33,50,13,1,29,0.8,0.439,0.333,60.0
425,1629013,10,91,17,15,4,1,12,1.0,0.39,0.362,10.0
427,1627783,15,386,61,127,12,11,44,0.829,0.474,0.376,76.0
428,1629735,15,57,11,61,4,12,22,0.688,0.676,0.0,16.0
