,PlayerID,GP,PTS,AST,REB,STL,BLK,TOV,FT_PCT,FG_PCT,FG3_PCT,FTA,FGA,FG3M,MIN,PLUS_MINUS
58,1629718,4,1.8,0.0,0.8,0.0,0.3,0.0,1.0,0.333,1.0,1.0,0.8,0.3,4.1,2.5
59,1627767,17,5.8,0.5,3.1,0.1,0.2,0.5,0.882,0.695,1.0,1.0,3.5,0.1,10.2,-0.3
60,1629002,6,2.7,0.3,1.8,0.0,0.3,0.0,0.5,0.583,0.0,0.7,2.0,0.0,3.6,-0.7
61,1628449,22,5.1,0.5,4.0,0.3,0.7,0.4,0.69,0.446,0.314,1.3,4.2,1.6,11.6,1.0
62,1629185,10,2.7,2.8,1.5,1.0,0.2,0.9,0.0,0.294,0.438,0.0,3.4,1.6,12.3,4.9
63,1629598,19,4.9,0.3,0.7,0.3,0.2,0.4,0.75,0.429,0.387,0.2,4.1,3.3,8.5,0.4
64,101108,25,15.6,6.3,4.2,1.7,0.2,1.7,0.889,0.454,0.352,4.3,11.4,4.2,31.3,2.6
65,1629735,23,3.8,0.6,3.7,0.2,0.7,1.1,0.722,0.66,0.0,1.6,2.0,0.1,9.7,0.9
66,1626174,24,9.1,0.5,5.0,0.3,0.8,1.0,0.661,0.628,0.441,2.6,5.4,1.4,15.3,3.1
67,203991,22,13.8,1.0,14.7,0.8,2.0,1.5,0.459,0.636,0.0,2.8,9.9,0.0,32.9,2.1
68,1629632,28,11.5,2.4,3.6,0.8,0.0,1.5,0.792,0.356,0.327,1.7,11.6,5.7,24.7,-1.7
69,1628998,20,3.3,1.2,2.4,0.8,0.2,0.6,0.69,0.375,0.167,1.5,2.8,1.2,13.0,0.9
70,203469,26,11.6,1.2,7.9,0.5,0.5,1.5,0.69,0.541,0.326,2.7,8.5,1.8,23.6,-4.6
71,1629012,26,17.4,2.3,3.0,1.0,0.0,1.8,0.821,0.438,0.295,3.7,15.3,3.4,30.4,-6.9
72,202709,26,6.0,3.8,2.6,0.8,0.5,1.3,1.0,0.367,0.288,0.7,6.5,2.0,26.6,-2.1
